,image_name,label
156,156__1267039_21015_0_0.png,1
157,157__3811837_21015_0_0.png,1
158,158__3868010_21015_0_0.png,3
159,159__4823658_21015_1_0.png,2
160,160__1138187_21015_0_0.png,0
161,161__1311425_21015_0_0.png,0
162,162__1767982_21015_0_0.png,2
163,163__4802083_21015_0_0.png,3
164,164__1171140_21015_0_0.png,2
165,165__5543689_21015_1_0.png,0
166,166__3636549_21015_0_0.png,1
167,167__5968527_21015_0_0.png,2
168,168__1609072_21015_0_0.png,1
169,169__3684998_21015_0_0.png,2
170,170__1455694_21015_0_0.png,0
171,171__4346433_21015_0_0.png,1
172,172__3360924_21015_0_0.png,3
173,173__5025708_21015_0_0.png,3
174,174__5593558_21015_0_0.png,1
175,175__4056125_21015_0_0.png,0
176,176__1090109_21015_0_0.png,1
177,177__3579404_21015_0_0.png,1
178,178__2272773_21015_0_0.png,2
179,179__3865278_21015_0_0.png,0
